timestamp,crowd_count,density_level
2026-03-02 14:25:09,4,Low
2026-03-02 14:25:10,4,Low
2026-03-02 14:25:11,4,Low
2026-03-02 14:25:12,4,Low
2026-03-02 14:25:14,4,Low
2026-03-02 14:25:15,4,Low
2026-03-02 14:25:16,4,Low
2026-03-02 14:25:17,4,Low
2026-03-02 14:25:18,5,Low
2026-03-02 14:25:19,5,Low
2026-03-02 14:25:20,7,Low
2026-03-02 14:25:21,8,Low
2026-03-02 14:25:22,8,Low
2026-03-02 14:25:24,7,Low
2026-03-02 14:25:25,7,Low
2026-03-02 14:25:26,6,Low
2026-03-02 14:25:27,5,Low
2026-03-02 14:25:28,5,Low
2026-03-02 14:25:29,2,Low
2026-03-02 14:25:30,1,Low
2026-03-02 14:25:31,0,Low
2026-03-02 14:25:32,0,Low
2026-03-02 14:25:33,0,Low
2026-03-02 14:25:34,0,Low
2026-03-02 14:25:35,0,Low
2026-03-02 14:25:36,0,Low
2026-03-02 14:25:37,2,Low
2026-03-02 14:25:38,2,Low
2026-03-02 14:25:39,2,Low
2026-03-02 14:25:41,2,Low
2026-03-02 14:25:42,2,Low
2026-03-02 14:25:43,2,Low
2026-03-02 14:25:44,2,Low
2026-03-02 14:25:45,2,Low
2026-03-02 14:25:46,2,Low
2026-03-02 14:25:47,3,Low
2026-03-02 14:25:48,4,Low
2026-03-02 14:25:49,5,Low
2026-03-02 14:25:50,4,Low
2026-03-02 14:25:51,4,Low
2026-03-02 14:25:52,4,Low
2026-03-02 14:25:53,2,Low
2026-03-02 14:25:54,2,Low
2026-03-02 14:25:55,2,Low
2026-03-02 14:25:56,3,Low
2026-03-02 14:25:57,3,Low
2026-03-02 14:25:58,3,Low
2026-03-02 14:26:00,3,Low
2026-03-02 14:26:01,3,Low
2026-03-02 14:26:02,3,Low
2026-03-02 14:26:03,3,Low
2026-03-02 14:26:04,2,Low
2026-03-02 14:26:05,2,Low
2026-03-02 14:26:06,2,Low
2026-03-02 14:26:07,2,Low
2026-03-02 14:26:08,2,Low
2026-03-02 14:26:09,2,Low
2026-03-02 14:26:10,2,Low
2026-03-02 14:26:11,2,Low
2026-03-02 14:26:12,2,Low
2026-03-02 14:26:13,3,Low
2026-03-02 14:26:14,6,Low
2026-03-02 14:26:15,7,Low
2026-03-02 14:26:16,4,Low
2026-03-02 14:26:17,2,Low
2026-03-02 14:26:18,2,Low
2026-03-02 14:26:19,2,Low
2026-03-02 14:26:20,2,Low
2026-03-02 14:26:21,2,Low
2026-03-02 14:26:23,2,Low
2026-03-02 14:26:24,2,Low
2026-03-02 14:26:25,2,Low
2026-03-02 14:26:26,3,Low
2026-03-02 14:26:27,3,Low
2026-03-02 14:26:28,4,Low
2026-03-02 14:26:29,4,Low
2026-03-02 14:26:30,3,Low
2026-03-02 14:26:31,2,Low
2026-03-02 14:26:32,2,Low
2026-03-02 14:26:33,2,Low
2026-03-02 14:26:34,2,Low
2026-03-02 14:26:35,2,Low
2026-03-02 14:26:36,2,Low
2026-03-02 14:26:37,1,Low
2026-03-02 14:26:38,2,Low
2026-03-02 14:26:39,2,Low
2026-03-02 14:26:40,2,Low
2026-03-02 14:26:41,2,Low
2026-03-02 14:26:42,2,Low
2026-03-02 14:26:43,2,Low
2026-03-02 14:26:44,2,Low
2026-03-02 14:26:45,2,Low
2026-03-02 14:26:46,3,Low
2026-03-02 14:26:47,3,Low
2026-03-02 14:26:48,4,Low
2026-03-02 14:26:49,3,Low
2026-03-02 14:26:50,3,Low
2026-03-02 14:26:51,3,Low
2026-03-02 14:26:52,3,Low
2026-03-02 14:26:53,3,Low
2026-03-02 14:26:54,3,Low
2026-03-02 14:26:56,3,Low
2026-03-02 14:26:57,3,Low
2026-03-02 14:26:58,5,Low
2026-03-02 14:26:59,6,Low
2026-03-02 14:27:00,3,Low
2026-03-02 14:27:01,3,Low
2026-03-02 14:27:02,3,Low
2026-03-02 14:27:03,3,Low
2026-03-02 14:27:04,2,Low
2026-03-02 14:27:05,2,Low
2026-03-02 14:27:06,3,Low
2026-03-02 14:27:07,3,Low
2026-03-02 14:27:08,2,Low
2026-03-02 14:27:09,2,Low
2026-03-02 14:27:10,1,Low
2026-03-02 14:27:11,1,Low
